VideoId,Views,Likes,Comments,Dislikes,DifferenceBetweenPublishAndActualDate,IsTrending
cU7AqQgDH1k,1760963,9423,0,812,965,0
3cUd_BK_P0w,1875320,138361,13115,1633,5,1
CX0XP3d0q2Q,2144895,84635,4687,1875,4,1
Sx6dAx7dnXg,10037737,390477,34616,10054,3,1
qEfPBt9dU60,4443561,362954,25636,2526,4,1
uvrC_9ZyJl4,575214,52556,4511,466,2,1
iMnIQE69Jyw,516,8,1,1,3,0
YNyFAro1E5M,1712053,182122,12199,1464,0,1
xxPT7zD5IA8,478759,2859,181,121,122,0
oT7q6ZIRVkU,479028,48058,1172,439,1,1
QyGDrrkL8Nc,513125,7867,1649,244,0,0
2O-9RmuiXog,14570306,651768,35068,7370,9,0
AvTziqKMXnU,5285250,12019,535,1133,825,0
us3dp-hI6BU,535587,10743,3231,214,3,1
6YLJg-7bOF0,397465,1279,96,197,125,0
s9847QrMi8A,169127,1515,0,76,1,0
3qILcT3UyvQ,2580875,182000,7711,1469,3,1
PoNCG3PZKII,1169367,94838,8989,798,1,1
H9yhnMIpRS8,679575,39694,1666,414,1,0
_98AKJLw3bQ,15764,73,0,7,50,0
LlWs87C2B7Q,4275279,56116,5001,1424,1,1
UeHDIi28eLo,740500,3192,0,256,741,0
vEnW8rLMJlc,716815,18735,450,248,3,1
TDiXxsQ0w2Q,18623727,1635407,94036,14076,2,1
YJ8O-lE9JAE,648,12,1,1,2,0
lcNnLQ-dVsY,706,15,5,0,2,0
1HZAnkxdYuA,818394,20917,2947,422,8,1
usNAcjGYuDw,675127,2179,308,184,513,0
EeWXw6UuPrM,1904286,19353,5191,804,1,1
FXrKquIBNJs,410676,1025,34,145,2461,0
HjaK0zmDroc,893941,52289,2907,534,3,1
JUw1Y7RBCzM,887826,97070,5851,628,1,1
_YIF3RdbO9I,2771,36,2,8,2,0
ECQ7ynk59uU,1394336,65240,4748,1167,3,1
5icfYzQlzCQ,171,6,1,0,2,0
Psl2wB4qDso,94253,3970,236,89,0,0
E5HNSxkCLEw,96511,992,24,149,303,0
ed0tTtdla0E,16508422,34230,2534,6565,1762,0
6pAw5qVa5vM,6862,371,12,2,3,0
hHTGdglw4UI,232507,2085,2659,698,2,1
lsQgFWHR0J8,827500,26246,6261,1733,4,1
aZItoGB9zss,2644557,202104,16081,1368,4,1
2Qq6SyOFQ_o,536251,36582,2216,471,5,1
DMO5Eo_9GZA,370356,3335,754,106,2,1
xTAI9253Jt8,801628,59035,6209,1279,1,1
N1j9b2M5SD4,989687,30588,1408,1039,1,1
7_GfdfzBpCE,1108,27,1,2,4,0
1tOpqS8JNgY,1228420,13044,2884,652,4,1
hesqHoERSvg,342077,25893,1401,1033,0,1
7BjlrL6ICdw,3632,26,6,1,1,0
MGthLOcmZH0,913338,48042,4858,1007,2,1
xNhn1KOqq8g,951843,109418,9453,652,0,1
8LDau4Q26nU,325,14,0,0,1,0
JdihvWCuvTA,247,14,3,1,1,0
o3j1Zr8Yrpk,1179900,73165,6959,1899,2,1
iHVj5GIubG8,205208,1018,74,31,832,0
Nf2KbqIds8I,143730,3388,748,272,9,0
JqW92zAE3gg,235662,616,17,93,61,0
vQu860umCDw,1177,25,1,0,3,0
_0w2m7nS5Ys,542,19,0,1,3,0
eIPsT9HXJzI,3382584,19596,429,423,508,0
j-E54PMD2xk,128745,1941,0,88,1204,0
NbNGxn9AEhs,286413,10014,1389,199,5,1
p0uR48cg_D4,672131,48974,2772,1049,4,1
WKXs3GwmGUM,34000,5,0,1,97,0
ofv5GO26PDU,234005,2154,0,107,218,0
jRn6b7585es,15574470,955534,162394,24623,4,1
